file,speaker,gender,dialect,sentence_number,nC_tier1,rateC_tier1,meanC_tier1,meanCLn_tier1,deltaC_tier1,deltaCLn_tier1,varcoC_tier1,rPVI_C_tier1,nPVI_C_tier1,nV_tier1,rateV_tier1,meanV_tier1,meanVLn_tier1,deltaV_tier1,deltaVLn_tier1,varcoV_tier1,rPVI_V_tier1,nPVI_V_tier1,percentV_tier1,nCV_tier1,rateCV_tier1,meanCV_tier1,meanCVLn_tier1,deltaCV_tier1,deltaCVLn_tier1,varcoCV_tier1,rPVI_CV_tier1,nPVI_CV_tier1
23m_zh_083,23,m,zh,083,8,9.30920548726554,0.10742055284609871,-2.445221862370493,0.07671470633875273,0.6916942339871618,0.7141529652026813,4.093159475494195,41.64492691743247,7,12.163106690557253,0.08221583723970319,-2.570351303324167,0.029428389652316308,0.4371526334305858,0.3579406430724143,3.772182869366606,49.755780670697554,40.108772331452286,15,10.45387022345839,0.0956583522297808,-2.503615601482208,0.05901810088994252,0.5703479608506757,0.6169675675384333,4.59887791573117,42.36296312463118
23m_zh_084,23,m,zh,084,8,14.37174959791952,0.0695809506829121,-2.7756546914376954,0.034689620537811806,0.5142675198996494,0.4985505400162776,4.340024111645313,57.85660364759151,8,12.740674980154504,0.07848877720824436,-2.6951257061400318,0.04387107549669079,0.6076986885918687,0.5589471139331577,6.324753986325684,80.52128700881828,53.00798368856336,16,13.507149830586343,0.07403486394557823,-2.735390198788864,0.03848262357798879,0.5454246734959434,0.5197905625419493,3.9944609613456623,55.67132532292878
23m_zh_085,23,m,zh,085,5,9.08422472416968,0.11008094035139608,-2.4220721225324646,0.07395258830361537,0.7818430907643156,0.6718019310840442,6.509089348054972,57.38559765659781,5,10.904422897601327,0.0917059077211663,-2.6415501118663243,0.06908489209093811,0.8059658877978538,0.7533308791947423,12.19482375602163,115.97806125876235,45.446920152193925,10,9.911448734660853,0.10089342403628118,-2.531811117199394,0.06815907462896174,0.757471304405786,0.6755551739868775,6.666741921050676,61.43603271976317
23m_zh_086,23,m,zh,086,7,8.502293135233298,0.11761532848779632,-2.3668665358620253,0.08467524994249818,0.7404123632640575,0.719933796310266,4.528158301819483,44.42814717434505,7,14.321404734857861,0.0698255526265542,-2.776615549088802,0.03541992192658681,0.5252714795370567,0.5072630375877161,4.49086071993965,61.818148872292596,37.25204032942861,14,10.670030935139899,0.09372044055717525,-2.5717410424754137,0.06710515989658286,0.6523539304689064,0.7160141320040485,7.9872253799292485,77.72629806102486
23m_zh_087,23,m,zh,087,5,10.808516615507742,0.09251963387512671,-2.5692481428022647,0.06039911409408483,0.7052522006508034,0.6528248282478637,7.879895996985707,87.29517550021183,5,12.193489455657975,0.08201097836977125,-2.849575812300715,0.07811761936392345,0.9251465736091967,0.9525263680151037,8.353493105905674,108.41773285417852,46.989452059387176,10,11.459307764265668,0.08726530612244898,-2.70941197755149,0.06606204268638015,0.7894841073940913,0.757025278679286,4.501514505843328,57.583502410782884
23m_zh_088,23,m,zh,088,9,8.057747517088423,0.12410416160090094,-2.2686788840234176,0.07749702981137231,0.6538930446396627,0.6244514995443128,9.02969042608681,80.1034631288178,9,12.892618121432568,0.07756376482893024,-2.619143960851299,0.02713652388898102,0.3876035366077574,0.34986083964376447,3.33759072284353,46.08919268003753,38.461130732118654,18,9.917293420954,0.1008339632149156,-2.4439114224373584,0.061205768115101034,0.5517467923462093,0.6069955614523275,6.472375977622237,56.243630386769105
23m_zh_089,23,m,zh,089,9,10.164779400445314,0.09837891808613088,-2.555025684487406,0.06728574199346087,0.746763728265411,0.6839447241588091,7.136054296032138,71.22916801655177,9,9.922895077186222,0.10077704059363733,-2.440729851972707,0.05395865146047541,0.594126431727422,0.5354260369487587,6.045274595548939,58.23697689044188,50.6020714929656,18,10.042380922259472,0.0995779793398841,-2.497877768230057,0.05917925739866359,0.6572636761527084,0.5943006454938219,6.403106098840987,65.43102781881817
23m_zh_090,23,m,zh,090,7,6.593685016218982,0.15166026243901928,-2.0706330300145686,0.09086537013397593,0.6900930824534085,0.5991376295455889,10.368106922830544,64.33442751371376,7,15.911979908405893,0.06284573043432047,-2.900733931559825,0.032357592908269006,0.5917103657588736,0.5148733682407534,4.9355631386777175,78.50607737564164,29.297890279191055,14,9.323748829623367,0.10725299643666987,-2.485683480787197,0.08011014037592634,0.7529344638960274,0.7469268275710069,9.911200156618413,83.16167312475321
23m_zh_091,23,m,zh,091,5,10.757280334431242,0.09296029934250774,-2.4135775185367185,0.029386225831118263,0.3035839581523006,0.31611586923624385,3.057034730897573,30.24567193487177,5,10.64381620603143,0.0939512652833426,-2.649767756798573,0.06986116885760384,0.9157215202563836,0.7435894412588618,7.251307306879215,97.01542091820113,50.265089520495565,10,10.700247488717427,0.09345578231292517,-2.5316726376676457,0.05052940592118637,0.6550912625867752,0.5406771488145579,6.610917852120153,70.72345387982621
23m_zh_092,23,m,zh,092,7,5.782539569904955,0.172934398098107,-1.8658529626239653,0.06873038039799555,0.5838213410058939,0.39743614430602914,9.528492205675427,64.25559344148043,7,11.271709004645869,0.08871769130908447,-2.4866487137478335,0.030234800085597074,0.4158542985962891,0.34079786837849224,4.272795565840461,52.09813396433414,33.906739101562884,14,7.643737928985292,0.13082604470359574,-2.1762508381859,0.0671689247709854,0.5838564570295731,0.5134216579211408,9.164454640687701,68.57649896880174
23m_zh_093,23,m,zh,093,8,7.570980940571858,0.13208328060121455,-2.0693838103432087,0.044120008574240185,0.31730823733454677,0.33403174401343944,4.157035123502913,28.346140906291094,8,11.59686359388626,0.08623021146227754,-2.6602824659989053,0.05649249092434582,0.7297138755874989,0.655135711328496,4.627166086514879,61.31424652249918,39.498342794681335,16,9.161137871489593,0.10915674603174604,-2.3648331381710572,0.05439108542757035,0.6233678897173438,0.4982842325819405,8.24749516699033,76.66367515739442
23m_zh_094,23,m,zh,094,9,8.6391170222902,0.1157525702476135,-2.299927875277538,0.061911275180682186,0.5879946908385182,0.5348587512851243,7.185801419305523,60.63582343067093,9,12.881426508153137,0.07763115361230083,-2.7052785539301922,0.049388175132569524,0.5577867994486355,0.6361901483419906,6.587624875718479,75.59524513528768,40.1435819224043,18,10.342132006149516,0.09669186192995717,-2.5026032146038646,0.057760750732280056,0.5938063775253505,0.5973693088475377,6.539132856898417,63.66307954519919
23m_zh_095,23,m,zh,095,9,7.840119155413715,0.12754908186688535,-2.325035419239056,0.11053086062685588,0.7506314551784938,0.8665751176649764,11.440504408216585,73.22459586505443,9,10.614635420952965,0.09420954751079164,-2.4727348167240093,0.04181437523344729,0.5372396484616774,0.44384434845796794,6.474501967399987,66.69580436457994,42.48292288564943,18,9.018814760952555,0.11087931468883849,-2.398885117981533,0.08286273749097887,0.6377700200994114,0.7473236800165769,7.62271391167995,57.64451599671205
