agegroup,subjectID,sex,s,stdevM,varcoM,rPVIm,nPVIm,stdevP,varcoP,rPVIp,nPVIp
o_,5,m_re,d_0,6.014834756878015,10.607115956938356,6.174234044331074,11.149031594381107,4.590571806003396,7.3123901158340665,3.934280280667351,6.331656101581357
o_,5,m_re,d_0,5.872988328020878,10.584934093515319,6.870502379450086,12.754786466088797,4.958594752169991,7.813244814237066,6.691050099764624,10.534227160339194
o_,5,m_re,d_0,3.1976134402522414,5.891840736826843,4.6350349863519265,8.630981690909211,2.1238941763379984,3.402658271542054,2.2171002538563207,3.570488582983551
o_,5,m_re,d_0,4.369282955405024,8.014244607590758,4.6445243129158404,8.49315243504548,3.024427836715813,4.874194673367137,3.7582398487686155,6.072791483839655
o_,5,m_re,d_0,5.544040073179212,9.953015020996528,6.5237424143253095,11.555821140751691,3.026268474959199,4.799730205507708,3.1783425207006166,5.083364445813794
o_,5,m_re,d_0,5.014225178600878,9.209144415827508,6.4062472262909775,11.894752977594196,3.233215691591512,5.216187516766014,3.223061571081005,5.127285488732593
o_,5,m_re,d_0,6.07994101424514,11.02313576478243,6.000699373740546,11.037871938771962,5.264321317974294,8.521392283412597,4.290750332556138,6.923332688194537
o_,5,m_re,d_0,5.715836581139622,10.568892117806747,6.191281711591734,11.962707532775214,3.854877936137101,6.195086473959654,3.4385321078522493,5.458445177412228
o_,5,m_re,d_1,3.6096383343508496,6.077884394933467,3.699382512041396,6.107127785351225,3.4301775107928747,5.291666784736226,4.895822954431141,7.497839501098672
o_,5,m_re,d_1,4.687212205465652,8.811196371579218,5.305233510083283,10.150713035764827,3.496073834897534,5.6593250764092,3.3044375891069913,5.340908017102481
o_,5,m_re,d_1,5.0472748694542195,9.063474892835663,3.189121039931962,5.746049220123688,4.0306721312920555,6.449196779164391,4.430889083797428,6.929547422672121
o_,5,m_re,d_1,5.11583748382482,9.098607421110502,6.342771764907794,11.439732722524791,3.149279534424757,4.97964284869448,2.9538597141970184,4.671646861316492
o_,5,m_re,d_1,5.392929411191395,10.22096354728152,7.694614979327158,14.27223673454073,2.5837893918422528,4.185345064415915,3.186444780949974,5.156844689139292
