file;speaker;gender;s;nSeg_tier1;rateSeg_tier1;meanSeg_tier1;nCon_tier2;rateCon_tier2;meanCon_tier2;meanConLn_tier2;deltaCon_tier2;deltaConLn_tier2;varcoCon_tier2;rPVI_Con_tier2;nPVI_Con_tier2;nVof_tier2;rateVof_tier2;meanVof_tier2;meanVofLn_tier2;deltaVof_tier2;deltaVofLn_tier2;varcoVof_tier2;rPVI_Vof_tier2;nPVI_Vof_tier2;nC_tier3;rateC_tier3;meanC_tier3;meanCLn_tier3;deltaC_tier3;deltaCLn_tier3;varcoC_tier3;rPVI_C_tier3;nPVI_C_tier3;nV_tier3;rateV_tier3;meanV_tier3;meanVLn_tier3;deltaV_tier3;deltaVLn_tier3;varcoV_tier3;rPVI_V_tier3;percentV_tier3;nCV_tier3;rateCV_tier3;meanCV_tier3;meanCVLn_tier3;deltaCV_tier3;deltaCVLn_tier3;varcoCV_tier3;rPVI_CV_tier3;nPVI_CV_tier3
01f_read_031;01;f;031;30;12.329261433482412;0.08110785916862087;17;12.812845773505549;0.07804667422656439;-2.6494666097802595;0.03303826527014679;0.48053441366482097;0.4233141975305555;4.187537613929394;57.50892434241162;13;11.749369890165717;0.08511094716977165;-2.6315985194558706;0.05112096663991738;0.6086808250501093;0.6006391461952113;7.691550255010024;81.35962921820736;11;8.290664912268296;0.12061758744105405;-2.180104056049983;0.044719185142650816;0.38315139989595043;0.37075177916740487;6.2654037057435;51.86088200735137;11;9.941774522447915;0.10058566483700285;-2.4976093281291267;0.06332096909978946;0.6933641463330647;0.6295227973329985;9.045229813864337;85.0167101548157;45.47205513532173;22;9.041458384553769;0.11060162613902845;-2.3388566920895553;0.05446734935164308;0.5702982149932092;0.4924642724798326;6.348233004446527;58.63937340463469
01f_read_037;01;f;037;21;13.46582164292853;0.07426208563553506;14;12.64508213552435;0.07908212768271856;-2.6197320245726856;0.03162706557346287;0.4381941851674887;0.39992684188205246;4.043613308328246;52.262730937875425;7;15.474605802219555;0.06462200154116804;-2.9072780229236046;0.041982714608645916;0.6183085400785056;0.6496659590758798;4.368845575819661;69.00674692973868;8;7.225761220299628;0.13839372344475748;-2.0906244648529673;0.0652801169199993;0.5246065463966361;0.4716985372971565;4.0349090749383105;31.070055490006077;7;15.474605802219555;0.06462200154116804;-2.9072780229236046;0.041982714608645916;0.6183085400785056;0.6496659590758798;4.368845575819661;69.00674692973868;29.006278232080717;15;9.618444030663236;0.10396691988974908;-2.4717294586192646;0.06585890884209761;0.6923130432172074;0.633460228618268;9.058145442217517;90.57731251871223
01f_read_040;01;f;040;30;15.729909658079485;0.063573155964463;20;16.550325772011174;0.060421771376315415;-2.9073649751046196;0.02824395534771998;0.46522838746370837;0.46744666209490277;2.9352554856016453;47.95614111983341;10;14.311080647384609;0.06987592514075817;-2.780011851470897;0.03489209884712644;0.5330289686355917;0.49934364055774205;4.869284572970164;69.40214103468769;10;8.275162886005587;0.12084354275263083;-2.1819586323609546;0.045540079086528656;0.40066139915845755;0.37685157228260113;5.563721658879921;45.180464260326204;10;14.311080647384609;0.06987592514075817;-2.780011851470897;0.03489209884712644;0.5330289686355917;0.49934364055774205;4.869284572970164;69.40214103468769;36.63806632462837;20;10.486606438719656;0.0953597339466945;-2.480985241915927;0.047356823835327536;0.5520384811177825;0.49661237374885825;6.797924757104252;69.77015025150257
01f_read_043;01;f;043;28;15.00471525525101;0.0666457165623348;18;15.276401402795297;0.06546044278576096;-2.816685775780683;0.02718427704927912;0.4534190830368349;0.4152779280495835;3.537342788989316;55.93136063734116;10;14.539277338351207;0.06877920936016774;-2.7293586761073727;0.0266648873773953;0.32246935789156034;0.38768819277585065;2.697695089425662;33.67810657490302;10;9.260646452964826;0.10798382219632699;-2.355454891282532;0.05977130308505417;0.5313752765404167;0.5535209059036925;6.526110220281622;58.404666181354614;10;14.539277338351207;0.06877920936016774;-2.7293586761073727;0.0266648873773953;0.32246935789156034;0.38768819277585065;2.697695089425662;33.67810657490302;38.91040380702309;20;11.314583045950906;0.08838151577824735;-2.542406783694953;0.04933112200126864;0.46882471997921726;0.55816107663329;4.910046461049677;48.36021461817241
01f_read_044;01;f;044;15;14.809512201646116;0.0675241686818589;9;15.039125031703856;0.06649323001783071;-2.7591343335376433;0.018900980277296985;0.3583512455283062;0.28425420561203796;1.978899315515116;33.69030515117154;6;14.477944851442736;0.06907057667790117;-2.688530124084106;0.013610637151650357;0.1946233745179681;0.1970540540745915;1.1745095370520309;17.257625892942276;7;11.697097246880777;0.08549129573721091;-2.514502936122408;0.031000235203983893;0.3588040180800688;0.3626127658571765;2.5961318727750333;32.32463532380363;6;14.477944851442736;0.06907057667790117;-2.688530124084106;0.013610637151650357;0.1946233745179681;0.1970540540745915;1.1745095370520309;17.257625892942276;40.916061923444445;13;12.834910574759968;0.07791250232522182;-2.594823176720115;0.0251055760349686;0.29716417588313215;0.3222278233366589;2.295690350902549;28.432035667196935
01f_read_045;01;f;045;19;12.522721283708853;0.07985484762812115;12;12.030492087501324;0.08312211942177465;-2.576962936673722;0.037078524049777774;0.44406876341091034;0.446072890197079;3.9086689152615595;46.78082024349455;7;13.46732236900057;0.07425381026757226;-2.7491357500663898;0.040103648090606014;0.6120662935141417;0.5400887570091454;3.6505952967153146;48.63821837609619;7;7.017787051042439;0.1424950618658994;-2.0573678357660077;0.07172994693663648;0.5059854399063043;0.5033854927838888;8.4896765146108;55.02272534905973;7;13.46732236900057;0.07425381026757226;-2.7491357500663898;0.040103648090606014;0.6120662935141417;0.5400887570091454;3.6505952967153146;48.63821837609619;34.25799153494444;14;9.227268314311786;0.10837443606673583;-2.4032517929161985;0.06611177407950797;0.6480015695442853;0.6100310781667832;7.5394716893546825;71.5012227819151
01f_read_046;01;f;046;34;13.288575955096022;0.07525260820867048;22;13.636303776480558;0.07333365524789545;-2.692959037708604;0.03185986493380142;0.40611895607955456;0.43445079651495677;3.2806627512955786;45.22020154145927;12;12.69507753844053;0.07877068863675805;-2.672697393759101;0.04467867931024159;0.5270674745903928;0.5671992981586357;3.6402230155531003;47.06566888548403;12;8.278476259399552;0.12079517639065274;-2.4100599237413682;0.12470044533663548;0.7075177487648803;1.0323296762558885;10.441729754186891;60.360871129018214;12;12.69507753844053;0.07877068863675805;-2.672697393759101;0.04467867931024159;0.5270674745903928;0.5671992981586357;3.6402230155531003;47.06566888548403;39.47102307598484;24;10.02175396942406;0.09978293251370539;-2.5413786587502343;0.0940875137025082;0.6247109595093987;0.9429219139213522;7.73034979276411;58.78519486609667
01f_read_051;01;f;051;19;10.578947193622186;0.09452736474598134;10;10.824777383100464;0.09238065270156873;-2.5062045762317817;0.04629524765407865;0.5392072098892085;0.5011357497509055;6.848421367522198;76.8106182832108;9;10.318575668998404;0.09691260035088421;-2.504412336382309;0.06157194928795081;0.623209478895811;0.6353348178154529;9.008022014305245;89.18202772877974;8;8.65982190648037;0.11547581587696092;-2.254447043360832;0.046071340944630876;0.5068691924179601;0.3989696075732405;6.888844056183537;67.93570955231544;7;8.025558853665425;0.12460191473685113;-2.258106294277176;0.08737241317349172;0.6243325818631349;0.7012124441106301;8.816729623460486;73.13000117927717;48.56368175567124;15;8.351800416017516;0.11973466201157636;-2.256154693788459;0.06599380052292762;0.543613023731266;0.5511670506619638;6.654703154683447;55.139927889375095
01f_read_052;01;f;052;29;14.295629503900043;0.06995144912836376;17;14.794222061921348;0.06759395633068716;-2.7931241677706846;0.029194649611412563;0.4772312444185536;0.4319121293712232;3.889277553717695;59.393843674779156;12;13.644197156006207;0.07329123059173896;-2.718056103276396;0.03356219594180317;0.491664961973388;0.457929218418474;4.8858723141443505;67.03956231549987;11;10.753079819299774;0.09299661276625013;-2.5197347961381933;0.05427355956493316;0.5669510692458628;0.5836079180792471;7.400143685676176;76.69376367255318;11;12.507180726339024;0.0799540697364425;-2.664799218853088;0.04218500371839163;0.5674458230769327;0.5276154654472078;6.079471400929161;75.50473636267412;46.229404000876215;22;11.563990214197984;0.08647534125134632;-2.5922670074956407;0.04790244634048046;0.5584853260433944;0.5539434207174601;4.921766571851024;55.88946820810998
01f_read_053;01;f;053;20;14.369639917573629;0.06959116621823144;11;14.70214938678595;0.06801726561823564;-2.7946510294222393;0.033038987270283;0.4892361906264709;0.48574412643582;3.4590925425089103;48.45678278336087;9;13.983115177283803;0.07151482250711522;-2.770843537504574;0.03807731436661563;0.554339211317368;0.5324394724300295;5.2955002676545115;71.46299287832211;8;10.692472281298873;0.093523740225074;-2.4865890261435037;0.04791272657231961;0.5205053861792509;0.5123055007959794;6.747623253884429;69.11662992399637;8;12.429435713141158;0.08045417532050461;-2.6637600626509874;0.0442251682272217;0.5867095281796005;0.549693885383105;5.434313510142931;68.94511106800454;46.243901168839606;16;11.495711934058903;0.08698895777278931;-2.575174544397245;0.04505087362335937;0.5435461217595047;0.5178918655518318;5.320743021159326;56.661638273702785
